sample,experiment,wn,int
100 mA,exp1,3433.639648,2750.339355
100 mA,exp1,3432.911133,2600.830078
100 mA,exp1,3432.181641,2791.396484
100 mA,exp1,3431.453125,2696.976074
100 mA,exp1,3430.723633,2625.250488
100 mA,exp1,3429.995117,2841.594971
100 mA,exp1,3429.265625,2646.907471
100 mA,exp1,3428.536133,2788.755615
100 mA,exp1,3427.806641,2742.943115
100 mA,exp1,3427.077148,2768.29541
100 mA,exp1,3426.34668,2767.770996
100 mA,exp1,3425.617188,2822.203613
100 mA,exp1,3424.886719,2682.686279
100 mA,exp1,3424.15625,2772.660889
100 mA,exp1,3423.425781,2775.366211
100 mA,exp1,3422.695312,2800.682617
100 mA,exp1,3421.964844,2687.111816
100 mA,exp1,3421.233398,2667.227783
100 mA,exp1,3420.50293,2795.86084
100 mA,exp1,3419.771484,2750.140381
100 mA,exp1,3419.040039,2798.0271
100 mA,exp1,3418.308594,2726.51001
100 mA,exp1,3417.577148,2700.184326
100 mA,exp1,3416.845703,2735.151123
100 mA,exp1,3416.114258,2779.779053
100 mA,exp1,3415.381836,2714.767334
100 mA,exp1,3414.649414,2691.686523
100 mA,exp1,3413.917969,2845.877441
100 mA,exp1,3413.185547,2758.333252
100 mA,exp1,3412.453125,2619.27417
100 mA,exp1,3411.719727,2699.304443
100 mA,exp1,3410.987305,2689.129883
100 mA,exp1,3410.253906,2666.079102
100 mA,exp1,3409.521484,2704.203613
100 mA,exp1,3408.788086,2764.843994
100 mA,exp1,3408.054688,2773.972412
100 mA,exp1,3407.321289,2718.747803
100 mA,exp1,3406.587891,2814.735596
100 mA,exp1,3405.853516,2701.631836
100 mA,exp1,3405.120117,2813.664062
100 mA,exp1,3404.385742,2742.398193
100 mA,exp1,3403.651367,2674.373779
100 mA,exp1,3402.916992,2773.491455
100 mA,exp1,3402.182617,2817.94751
100 mA,exp1,3401.448242,2746.734375
100 mA,exp1,3400.712891,2707.66748
100 mA,exp1,3399.978516,2838.815918
100 mA,exp1,3399.243164,2758.006836
100 mA,exp1,3398.507812,2799.212402
100 mA,exp1,3397.772461,2753.745605
100 mA,exp1,3397.037109,2827.024658
100 mA,exp1,3396.301758,2839.318359
100 mA,exp1,3395.566406,2720.093262
100 mA,exp1,3394.830078,2738.81665
100 mA,exp1,3394.09375,2754.325928
100 mA,exp1,3393.358398,2805.093262
100 mA,exp1,3392.62207,2814.17334
100 mA,exp1,3391.885742,2887.341553
100 mA,exp1,3391.148438,2774.650635
100 mA,exp1,3390.412109,2860.611816
100 mA,exp1,3389.674805,2824.834717
100 mA,exp1,3388.938477,2721.826172
100 mA,exp1,3388.201172,2756.522949
100 mA,exp1,3387.463867,2743.192139
100 mA,exp1,3386.726562,2896.282715
100 mA,exp1,3385.988281,2854.132812
100 mA,exp1,3385.250977,2837.591309
100 mA,exp1,3384.512695,2760.285156
100 mA,exp1,3383.775391,2862.088623
100 mA,exp1,3383.037109,2660.114014
100 mA,exp1,3382.298828,2857.796631
100 mA,exp1,3381.560547,2815.701172
100 mA,exp1,3380.821289,2799.185059
100 mA,exp1,3380.083008,2827.4021
