sample,experiment,wn,int
0.5 mA,exp1,3524.45313,55568.80859
0.5 mA,exp1,3523.74121,55551.85547
0.5 mA,exp1,3523.0293,55226.54688
0.5 mA,exp1,3522.31738,55597.52734
0.5 mA,exp1,3521.60547,55232.55078
0.5 mA,exp1,3520.89356,54914.09766
0.5 mA,exp1,3520.18066,55589.73828
0.5 mA,exp1,3519.46875,55562.84766
0.5 mA,exp1,3518.75586,55191.51172
0.5 mA,exp1,3518.04297,55817.04297
0.5 mA,exp1,3517.33008,55561.66797
0.5 mA,exp1,3516.61719,56610.59375
0.5 mA,exp1,3515.9043,56275.73047
0.5 mA,exp1,3515.19141,56791.38672
0.5 mA,exp1,3514.47754,56039.76172
0.5 mA,exp1,3513.76465,55992.95313
0.5 mA,exp1,3513.05078,56204.10938
0.5 mA,exp1,3512.33691,56286.23438
0.5 mA,exp1,3511.62305,55809.63281
0.5 mA,exp1,3510.90918,56625.55859
0.5 mA,exp1,3510.19531,56043.32031
0.5 mA,exp1,3509.48047,57113.30078
0.5 mA,exp1,3508.7666,56435.37891
0.5 mA,exp1,3508.05176,56583.40625
0.5 mA,exp1,3507.33691,56873.36719
0.5 mA,exp1,3506.62207,57397.625
0.5 mA,exp1,3505.90723,56300.92578
0.5 mA,exp1,3505.19238,56396.04688
0.5 mA,exp1,3504.47754,56534.02344
0.5 mA,exp1,3503.76172,56229.87109
0.5 mA,exp1,3503.0459,56803.22266
0.5 mA,exp1,3502.33106,56598.05859
0.5 mA,exp1,3501.61523,57171.12109
0.5 mA,exp1,3500.89941,56570.36328
0.5 mA,exp1,3500.18262,57057.51563
0.5 mA,exp1,3499.4668,57007.32813
0.5 mA,exp1,3498.75098,56650.74219
0.5 mA,exp1,3498.03418,56831.23828
0.5 mA,exp1,3497.31738,57489.22656
0.5 mA,exp1,3496.60059,57264.45703
0.5 mA,exp1,3495.88379,57309.73828
0.5 mA,exp1,3495.16699,57104.83203
0.5 mA,exp1,3494.4502,57005.3125
0.5 mA,exp1,3493.73242,57524.4375
0.5 mA,exp1,3493.01563,57141.9375
0.5 mA,exp1,3492.29785,57019.43359
0.5 mA,exp1,3491.58008,57682.95703
0.5 mA,exp1,3490.86231,57422.28906
0.5 mA,exp1,3490.14453,57168.28906
0.5 mA,exp1,3489.42676,57630.90625
0.5 mA,exp1,3488.70898,57505.12109
0.5 mA,exp1,3487.99023,57583.08203
0.5 mA,exp1,3487.27148,57569.03125
0.5 mA,exp1,3486.55371,57811.16406
0.5 mA,exp1,3485.83496,57140.32031
0.5 mA,exp1,3485.11621,57681.19922
0.5 mA,exp1,3484.39648,57637.58594
0.5 mA,exp1,3483.67773,57958.27344
0.5 mA,exp1,3482.95898,58003.21094
0.5 mA,exp1,3482.23926,57736.46484
0.5 mA,exp1,3481.51953,57286.12891
0.5 mA,exp1,3480.79981,58046.07422
0.5 mA,exp1,3480.08008,57851.59375
0.5 mA,exp1,3479.36035,58289.875
0.5 mA,exp1,3478.64063,57721.76563
0.5 mA,exp1,3477.91992,57438.96484
0.5 mA,exp1,3477.2002,58145.73047
0.5 mA,exp1,3476.47949,58052.94141
0.5 mA,exp1,3475.75879,58706.91797
0.5 mA,exp1,3475.03809,58234.20703
0.5 mA,exp1,3474.31738,58563.77734
0.5 mA,exp1,3473.59668,58533.16016
0.5 mA,exp1,3472.875,58571.27344
0.5 mA,exp1,3472.1543,57922.23438
0.5 mA,exp1,3471.43262,58686.70703
0.5 mA,exp1,3470.71094,58005.17578
0.5 mA,exp1,3469.98926,58285.34375
0.5 mA,exp1,3469.26758,58431.34766
0.5 mA,exp1,3468.5459,57992.14453
0.5 mA,exp1,3467.82324,58170.82422
0.5 mA,exp1,3467.10156,58643.53516
0.5 mA,exp1,3466.37891,57920.28125
0.5 mA,exp1,3465.65625,58588.84766
0.5 mA,exp1,3464.93359,58760.73828
0.5 mA,exp1,3464.21094,58599.49219
0.5 mA,exp1,3463.48828,59039.01563
0.5 mA,exp1,3462.76563,59099.73047
0.5 mA,exp1,3462.04199,58602.36328
0.5 mA,exp1,3461.31836,58888.26953
0.5 mA,exp1,3460.5957,59102.29688
0.5 mA,exp1,3459.87207,58546.48828
0.5 mA,exp1,3459.14844,58656.13672
0.5 mA,exp1,3458.42383,58302.76172
0.5 mA,exp1,3457.7002,58960.05078
0.5 mA,exp1,3456.97656,58808.81641
0.5 mA,exp1,3456.25195,59123.60547
0.5 mA,exp1,3455.52734,58923.51563
0.5 mA,exp1,3454.80273,59176.26953
0.5 mA,exp1,3454.07813,58842.71484
0.5 mA,exp1,3453.35352,58633.01172
0.5 mA,exp1,3452.62891,59347.94531
0.5 mA,exp1,3451.90332,59226.10156
0.5 mA,exp1,3451.17871,58993.65234
0.5 mA,exp1,3450.45313,58888.18359
0.5 mA,exp1,3449.72754,59101.54688
0.5 mA,exp1,3449.00195,58365.11328
0.5 mA,exp1,3448.27637,59089.02344
0.5 mA,exp1,3447.55078,59279.45703
0.5 mA,exp1,3446.82422,59336.54297
0.5 mA,exp1,3446.09863,59247.35156
0.5 mA,exp1,3445.37207,59554.61719
0.5 mA,exp1,3444.64551,59147.03125
0.5 mA,exp1,3443.91895,59483.42188
0.5 mA,exp1,3443.19238,59602.09766
0.5 mA,exp1,3442.46582,59032.37891
0.5 mA,exp1,3441.73828,59394.55859
0.5 mA,exp1,3441.01172,59477.47266
0.5 mA,exp1,3440.28418,59657.69922
0.5 mA,exp1,3439.55664,59412.82813
0.5 mA,exp1,3438.8291,59635.16406
0.5 mA,exp1,3438.10156,58728.76172
0.5 mA,exp1,3437.37402,59888.25391
0.5 mA,exp1,3436.64551,59280.40234
0.5 mA,exp1,3435.91797,59149.26563
0.5 mA,exp1,3435.18945,59471.88281
0.5 mA,exp1,3434.46094,59049.13672
0.5 mA,exp1,3433.73242,59705.32031
0.5 mA,exp1,3433.00391,59519.12109
0.5 mA,exp1,3432.27539,58928.19922
0.5 mA,exp1,3431.5459,58985.03906
0.5 mA,exp1,3430.81738,59546.84766
0.5 mA,exp1,3430.08789,59182.79688
0.5 mA,exp1,3429.3584,59673.15625
0.5 mA,exp1,3428.62891,59635.97656
0.5 mA,exp1,3427.89941,59424.13281
0.5 mA,exp1,3427.16992,58927.76953
0.5 mA,exp1,3426.44043,59501.85938
0.5 mA,exp1,3425.70996,59374.20313
0.5 mA,exp1,3424.97949,59899.5
0.5 mA,exp1,3424.25,59836.44141
0.5 mA,exp1,3423.51953,59679.70313
0.5 mA,exp1,3422.78906,59481.02734
0.5 mA,exp1,3422.05762,59531.11328
0.5 mA,exp1,3421.32715,59975.13281
0.5 mA,exp1,3420.5957,59353.55859
0.5 mA,exp1,3419.86523,58845.19922
0.5 mA,exp1,3419.13379,59705.40625
0.5 mA,exp1,3418.40234,59222.97656
0.5 mA,exp1,3417.6709,59253.67188
0.5 mA,exp1,3416.93945,59484.33594
0.5 mA,exp1,3416.20703,59631.05859
0.5 mA,exp1,3415.47559,59719.68359
0.5 mA,exp1,3414.74316,59089.40234
0.5 mA,exp1,3414.01074,59564.85156
0.5 mA,exp1,3413.27832,59360.19141
0.5 mA,exp1,3412.5459,59609.875
0.5 mA,exp1,3411.81348,59724.17188
0.5 mA,exp1,3411.08106,59442.28516
0.5 mA,exp1,3410.34766,59546.90234
0.5 mA,exp1,3409.61426,59484.07031
0.5 mA,exp1,3408.88184,59176.62891
0.5 mA,exp1,3408.14844,59113.88281
0.5 mA,exp1,3407.41504,59472.64844
0.5 mA,exp1,3406.68066,59615.74219
0.5 mA,exp1,3405.94727,59009.37891
0.5 mA,exp1,3405.21387,59496.57813
0.5 mA,exp1,3404.47949,59610.63672
0.5 mA,exp1,3403.74512,59608.92578
0.5 mA,exp1,3403.01074,59616.85547
0.5 mA,exp1,3402.27637,59023.90234
0.5 mA,exp1,3401.54199,59115.46094
0.5 mA,exp1,3400.80664,59704.83984
0.5 mA,exp1,3400.07227,59381.95313
0.5 mA,exp1,3399.33691,59932.52344
0.5 mA,exp1,3398.60156,59179.54297
0.5 mA,exp1,3397.86621,59723.51172
0.5 mA,exp1,3397.13086,59834.0625
0.5 mA,exp1,3396.39551,59716.76953
0.5 mA,exp1,3395.66016,59269.125
0.5 mA,exp1,3394.92383,59600.97656
0.5 mA,exp1,3394.18848,59006.01953
0.5 mA,exp1,3393.45215,59809.05078
0.5 mA,exp1,3392.71582,59329.66016
0.5 mA,exp1,3391.97949,59654.82031
0.5 mA,exp1,3391.24219,59697.89453
0.5 mA,exp1,3390.50586,59968.39063
0.5 mA,exp1,3389.76953,59287.54297
0.5 mA,exp1,3389.03223,59673.28906
0.5 mA,exp1,3388.29492,60401.45313
0.5 mA,exp1,3387.55762,59592.85938
0.5 mA,exp1,3386.82031,59658.27344
0.5 mA,exp1,3386.08301,58901.32031
0.5 mA,exp1,3385.34473,59456.30469
0.5 mA,exp1,3384.60742,59902.32031
0.5 mA,exp1,3383.86914,59203.30469
0.5 mA,exp1,3383.13086,59460.55078
0.5 mA,exp1,3382.39258,59957.44531
0.5 mA,exp1,3381.6543,60329.5
0.5 mA,exp1,3380.91602,59292.19922
0.5 mA,exp1,3380.17676,60018.85938
0.5 mA,exp1,3379.43848,59403.64844
0.5 mA,exp1,3378.69922,59999.0625
0.5 mA,exp1,3377.95996,59834.30078
0.5 mA,exp1,3377.2207,59698.33203
0.5 mA,exp1,3376.48145,59485.80469
0.5 mA,exp1,3375.74219,59595.66797
0.5 mA,exp1,3375.00293,59386.42578
0.5 mA,exp1,3374.2627,59461.16406
0.5 mA,exp1,3373.52246,60004.71094
0.5 mA,exp1,3372.78223,59400.09375
0.5 mA,exp1,3372.04199,59764.89453
0.5 mA,exp1,3371.30176,59339.04688
0.5 mA,exp1,3370.56152,59818.44531
0.5 mA,exp1,3369.82031,59902.55078
0.5 mA,exp1,3369.08008,60203.24609
0.5 mA,exp1,3368.33887,59452.74609
0.5 mA,exp1,3367.59766,59823.46484
0.5 mA,exp1,3366.85645,59582.73438
0.5 mA,exp1,3366.11523,59329.36328
0.5 mA,exp1,3365.37402,59792.17188
0.5 mA,exp1,3364.63184,59736.13281
0.5 mA,exp1,3363.89063,59540.12891
0.5 mA,exp1,3363.14844,59274.21484
0.5 mA,exp1,3362.40625,59819.35156
0.5 mA,exp1,3361.66406,59677.48438
0.5 mA,exp1,3360.92188,59306.78125
0.5 mA,exp1,3360.17871,59139.63281
0.5 mA,exp1,3359.43652,58994.78516
0.5 mA,exp1,3358.69336,59145.46484
0.5 mA,exp1,3357.9502,59508.91016
0.5 mA,exp1,3357.20801,59554.61719
0.5 mA,exp1,3356.46387,59124.01172
0.5 mA,exp1,3355.7207,58995.16016
0.5 mA,exp1,3354.97754,59682.09375
0.5 mA,exp1,3354.2334,59489.70703
0.5 mA,exp1,3353.49023,59747.9375
0.5 mA,exp1,3352.74609,59841.10547
0.5 mA,exp1,3352.00195,59179.38672
0.5 mA,exp1,3351.25781,58860.38672
0.5 mA,exp1,3350.51367,59391.17578
0.5 mA,exp1,3349.76856,59268.78125
0.5 mA,exp1,3349.02441,59187.625
0.5 mA,exp1,3348.2793,59581.78516
0.5 mA,exp1,3347.53418,59145.78125
0.5 mA,exp1,3346.78906,58976.0
0.5 mA,exp1,3346.04395,58993.11719
0.5 mA,exp1,3345.29883,59197.02344
0.5 mA,exp1,3344.55273,59622.43359
0.5 mA,exp1,3343.80762,59557.11328
0.5 mA,exp1,3343.06152,59134.25391
0.5 mA,exp1,3342.31543,59053.22656
0.5 mA,exp1,3341.56934,59215.78516
0.5 mA,exp1,3340.82324,59593.32422
0.5 mA,exp1,3340.07715,59515.40625
0.5 mA,exp1,3339.33008,59165.64844
0.5 mA,exp1,3338.58398,59166.85156
0.5 mA,exp1,3337.83691,59600.97266
0.5 mA,exp1,3337.08984,59241.91016
0.5 mA,exp1,3336.34277,59306.26172
0.5 mA,exp1,3335.5957,59383.21484
0.5 mA,exp1,3334.84766,58951.76563
0.5 mA,exp1,3334.10059,59104.51563
0.5 mA,exp1,3333.35254,59913.72656
0.5 mA,exp1,3332.60449,59031.14063
0.5 mA,exp1,3331.85645,59250.03516
0.5 mA,exp1,3331.1084,59355.27734
0.5 mA,exp1,3330.36035,59328.00781
0.5 mA,exp1,3329.61231,59553.01172
0.5 mA,exp1,3328.86328,59144.23438
0.5 mA,exp1,3328.11426,59265.15625
0.5 mA,exp1,3327.36621,59335.60547
0.5 mA,exp1,3326.61719,59563.56641
0.5 mA,exp1,3325.86816,59221.24219
0.5 mA,exp1,3325.11816,59417.63281
0.5 mA,exp1,3324.36914,59286.44531
0.5 mA,exp1,3323.61914,59328.46484
0.5 mA,exp1,3322.87012,59323.25
0.5 mA,exp1,3322.12012,58890.01172
0.5 mA,exp1,3321.37012,59498.45703
0.5 mA,exp1,3320.61914,59597.01563
