sample,experiment,wn,int,current_A,cell_voltage
50 mA,exp1,3497.97363,4387.79004,0.05,3.69
50 mA,exp1,3497.25684,4393.55859,0.05,3.69
50 mA,exp1,3496.54004,4402.61719,0.05,3.69
50 mA,exp1,3495.82324,4358.99609,0.05,3.69
50 mA,exp1,3495.10645,4450.34912,0.05,3.69
50 mA,exp1,3494.38965,4465.97363,0.05,3.69
50 mA,exp1,3493.67188,4458.55908,0.05,3.69
50 mA,exp1,3492.95508,4503.78418,0.05,3.69
50 mA,exp1,3492.23731,4572.0166,0.05,3.69
50 mA,exp1,3491.51953,4482.37012,0.05,3.69
50 mA,exp1,3490.80176,4540.7168,0.05,3.69
50 mA,exp1,3490.08398,4490.55762,0.05,3.69
50 mA,exp1,3489.36621,4548.88037,0.05,3.69
50 mA,exp1,3488.64746,4456.01807,0.05,3.69
50 mA,exp1,3487.92969,4635.88965,0.05,3.69
50 mA,exp1,3487.21094,4612.02832,0.05,3.69
50 mA,exp1,3486.49219,4486.36231,0.05,3.69
50 mA,exp1,3485.77344,4462.5376,0.05,3.69
50 mA,exp1,3485.05469,4507.66602,0.05,3.69
50 mA,exp1,3484.33594,4753.00781,0.05,3.69
50 mA,exp1,3483.61719,4630.68994,0.05,3.69
50 mA,exp1,3482.89746,4662.63574,0.05,3.69
50 mA,exp1,3482.17871,4720.81445,0.05,3.69
50 mA,exp1,3481.45898,4792.09131,0.05,3.69
50 mA,exp1,3480.73926,4686.25342,0.05,3.69
50 mA,exp1,3480.01953,4619.80078,0.05,3.69
50 mA,exp1,3479.29981,4514.03418,0.05,3.69
50 mA,exp1,3478.5791,4595.12744,0.05,3.69
50 mA,exp1,3477.85938,4649.9751,0.05,3.69
50 mA,exp1,3477.13867,4557.3667,0.05,3.69
50 mA,exp1,3476.41797,4746.50391,0.05,3.69
50 mA,exp1,3475.69824,4634.26123,0.05,3.69
50 mA,exp1,3474.97754,4594.09912,0.05,3.69
50 mA,exp1,3474.25586,4743.83594,0.05,3.69
50 mA,exp1,3473.53516,4592.37695,0.05,3.69
50 mA,exp1,3472.81445,4742.05713,0.05,3.69
50 mA,exp1,3472.09277,4626.64697,0.05,3.69
50 mA,exp1,3471.37109,4684.66455,0.05,3.69
50 mA,exp1,3470.64941,4559.49561,0.05,3.69
50 mA,exp1,3469.92773,4666.55615,0.05,3.69
50 mA,exp1,3469.20606,4734.34131,0.05,3.69
50 mA,exp1,3468.48438,4926.32178,0.05,3.69
50 mA,exp1,3467.7627,4735.83301,0.05,3.69
50 mA,exp1,3467.04004,4676.12451,0.05,3.69
50 mA,exp1,3466.31738,4668.7124,0.05,3.69
50 mA,exp1,3465.5957,4697.23438,0.05,3.69
50 mA,exp1,3464.87305,4712.68164,0.05,3.69
50 mA,exp1,3464.15039,4715.06152,0.05,3.69
50 mA,exp1,3463.42676,4743.55762,0.05,3.69
50 mA,exp1,3462.7041,4749.19434,0.05,3.69
50 mA,exp1,3461.98047,4614.50098,0.05,3.69
50 mA,exp1,3461.25781,4828.97998,0.05,3.69
50 mA,exp1,3460.53418,4903.10303,0.05,3.69
50 mA,exp1,3459.81055,4771.71729,0.05,3.69
50 mA,exp1,3459.08691,4721.90479,0.05,3.69
50 mA,exp1,3458.36328,4717.75635,0.05,3.69
50 mA,exp1,3457.63867,4707.08984,0.05,3.69
50 mA,exp1,3456.91504,4813.75586,0.05,3.69
50 mA,exp1,3456.19043,4617.33838,0.05,3.69
50 mA,exp1,3455.46582,4622.98486,0.05,3.69
50 mA,exp1,3454.74219,4599.31397,0.05,3.69
50 mA,exp1,3454.01758,4751.51221,0.05,3.69
50 mA,exp1,3453.29199,4692.0083,0.05,3.69
50 mA,exp1,3452.56738,4892.96338,0.05,3.69
50 mA,exp1,3451.84277,4869.25781,0.05,3.69
50 mA,exp1,3451.11719,4842.30664,0.05,3.69
50 mA,exp1,3450.3916,4769.81445,0.05,3.69
50 mA,exp1,3449.66602,4785.18066,0.05,3.69
50 mA,exp1,3448.94043,4842.82227,0.05,3.69
50 mA,exp1,3448.21484,4828.90234,0.05,3.69
50 mA,exp1,3447.48926,4694.69336,0.05,3.69
50 mA,exp1,3446.7627,4771.82178,0.05,3.69
50 mA,exp1,3446.03711,4761.17188,0.05,3.69
50 mA,exp1,3445.31055,4812.26318,0.05,3.69
50 mA,exp1,3444.58398,4869.83252,0.05,3.69
50 mA,exp1,3443.85742,4790.95898,0.05,3.69
50 mA,exp1,3443.13086,4777.06494,0.05,3.69
50 mA,exp1,3442.4043,4854.08838,0.05,3.69
50 mA,exp1,3441.67676,4797.98535,0.05,3.69
50 mA,exp1,3440.9502,4819.79883,0.05,3.69
50 mA,exp1,3440.22266,4715.04736,0.05,3.69
50 mA,exp1,3439.49512,4847.17871,0.05,3.69
50 mA,exp1,3438.76758,4722.99756,0.05,3.69
50 mA,exp1,3438.04004,4868.04981,0.05,3.69
50 mA,exp1,3437.3125,4828.21875,0.05,3.69
50 mA,exp1,3436.58398,4837.03223,0.05,3.69
50 mA,exp1,3435.85645,4729.15283,0.05,3.69
50 mA,exp1,3435.12793,4880.57373,0.05,3.69
50 mA,exp1,3434.39941,4892.61182,0.05,3.69
50 mA,exp1,3433.6709,4817.17725,0.05,3.69
50 mA,exp1,3432.94238,4926.38916,0.05,3.69
50 mA,exp1,3432.21387,4896.3125,0.05,3.69
50 mA,exp1,3431.48438,4807.96826,0.05,3.69
50 mA,exp1,3430.75586,4823.24365,0.05,3.69
50 mA,exp1,3430.02637,4851.45898,0.05,3.69
50 mA,exp1,3429.29688,5038.21973,0.05,3.69
50 mA,exp1,3428.56738,4849.62207,0.05,3.69
50 mA,exp1,3427.83789,4767.83789,0.05,3.69
50 mA,exp1,3427.1084,4941.57178,0.05,3.69
50 mA,exp1,3426.37793,4820.99951,0.05,3.69
50 mA,exp1,3425.64844,4690.7749,0.05,3.69
50 mA,exp1,3424.91797,4744.83301,0.05,3.69
50 mA,exp1,3424.1875,4708.38623,0.05,3.69
50 mA,exp1,3423.45703,4894.88867,0.05,3.69
50 mA,exp1,3422.72656,4910.11231,0.05,3.69
50 mA,exp1,3421.99609,4825.2085,0.05,3.69
50 mA,exp1,3421.26563,4846.89697,0.05,3.69
50 mA,exp1,3420.53418,4875.03418,0.05,3.69
50 mA,exp1,3419.80273,4951.57861,0.05,3.69
50 mA,exp1,3419.07227,4815.09326,0.05,3.69
50 mA,exp1,3418.34082,4891.61963,0.05,3.69
50 mA,exp1,3417.60938,5039.08936,0.05,3.69
50 mA,exp1,3416.87695,4902.66406,0.05,3.69
50 mA,exp1,3416.14551,4888.83398,0.05,3.69
50 mA,exp1,3415.41309,4862.11182,0.05,3.69
